Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,218.701004,224.559998,216.270996,218.748001,165.849152,5579516
2009-01-05,221.796997,236.279007,221.606995,233.992004,177.406769,7901583
2009-01-06,233.419998,242.947998,226.942001,235.373993,178.454529,7856935
2009-01-07,238.279007,248.378006,219.128998,222.701996,168.846939,10521837
2009-01-09,219.128998,224.845993,198.360001,204.837997,155.302917,8807182
2009-01-12,202.742004,206.220001,188.975006,190.690002,144.576294,7365777
2009-01-13,186.832001,198.169006,181.973007,192.929001,146.273834,8848654
2009-01-14,197.216003,205.505005,195.787003,203.028000,153.930649,5342200
2009-01-15,196.264008,196.264008,186.117004,188.356003,142.806702,7912608
2009-01-16,190.546997,198.169006,182.544006,194.406006,147.393661,9753831
2009-01-19,194.358002,201.408997,192.548004,198.692993,150.643951,5470622
2009-01-20,194.406006,194.738998,183.878006,185.830994,140.892303,8708796
2009-01-21,183.067993,184.735992,179.113998,179.972000,136.450165,6504564
2009-01-22,183.783005,184.830994,168.776993,170.778000,129.479538,7802129
2009-01-23,170.539993,171.492996,157.248993,158.440002,120.125160,7792558
2009-01-27,161.964996,168.300995,161.011993,163.822998,124.206421,6690163
2009-01-28,166.729004,172.160004,159.154999,168.824997,127.998802,16563147
2009-01-29,168.634003,177.684998,168.634003,175.018005,132.694168,12577155
2009-01-30,176.160995,179.447998,167.682007,175.875000,133.343918,9033296
2009-02-02,174.255997,174.350998,163.061005,164.347000,124.603699,4988784
2009-02-03,167.634003,169.014999,159.679001,162.679993,123.339821,6008969
2009-02-04,163.871002,172.445007,163.871002,171.063995,129.696350,7157843
2009-02-05,172.063995,179.496002,171.636002,173.207993,131.321869,8593149
2009-02-06,175.304001,178.923996,173.397995,177.684998,134.716217,4267568
2009-02-09,178.923996,191.356995,178.876007,190.214005,144.215378,8505365
2009-02-10,190.070999,194.214996,185.117004,187.546005,142.192596,9990724
2009-02-11,182.973007,184.496994,178.257004,181.162994,137.353149,7499847
2009-02-12,179.591003,183.878006,175.636993,176.828003,134.066467,5673893
2009-02-13,178.162003,186.735992,178.162003,184.973999,140.242554,6458210
2009-02-16,181.544006,187.593994,174.350998,175.445999,133.018646,6435648
2009-02-17,173.397995,173.779007,162.156006,163.537003,123.989563,6304596
2009-02-18,162.822998,166.681000,160.106995,162.679993,123.339821,6553610
2009-02-19,164.822998,166.919006,160.440994,164.298996,124.567291,5256970
2009-02-20,161.917999,163.585007,158.201996,160.154999,121.425430,4333529
2009-02-24,157.201996,158.154007,150.912994,153.151993,116.115921,8578025
2009-02-25,160.059998,160.059998,152.151993,154.723999,117.307785,5247863
2009-02-26,156.248993,157.677994,151.533005,155.343994,117.777832,5488032
2009-02-27,155.772003,167.014999,148.770004,164.632996,124.820526,15270213
2009-03-02,162.156006,162.679993,149.675003,151.533005,114.888458,9208885
2009-03-03,151.960999,154.677002,146.768997,147.912003,112.143082,7576270
2009-03-04,151.151993,155.201004,146.768997,149.246002,113.154503,12882401
2009-03-05,155.201004,155.201004,143.529999,144.625000,109.650978,10572821
2009-03-06,142.910995,152.294998,141.671997,149.341003,113.226524,7257470
2009-03-09,147.722000,151.628006,144.005997,145.149002,110.048256,6117747
2009-03-12,151.341995,151.341995,146.720993,148.531998,112.613167,5723327
2009-03-13,152.151993,159.822006,150.531998,159.106995,120.630859,9477752
2009-03-16,160.917007,163.347000,154.723999,160.727005,121.859100,6986389
2009-03-17,166.634003,167.158005,159.106995,160.630997,121.786331,8723105
2009-03-18,166.014008,171.826004,162.632004,168.158005,127.493088,9072696
2009-03-19,169.397003,172.921997,161.632004,164.776001,124.928955,9281142
2009-03-20,161.964996,170.445007,161.011993,167.919998,127.312637,8969032
2009-03-23,173.207993,186.688995,169.968002,185.212006,140.423004,13569680
2009-03-24,188.641998,193.738998,177.257004,178.494995,135.330322,15247931
2009-03-25,178.923996,187.641006,173.160004,185.544998,140.675461,15725043
2009-03-26,188.641998,197.169006,187.688995,195.740005,148.405060,14620313
2009-03-27,196.597000,216.557007,196.264008,212.651001,161.226547,19791666
2009-03-30,204.837997,210.554993,183.259003,187.070007,141.831680,16760416
2009-03-31,189.595001,201.979996,186.403000,196.167999,148.729568,17264847
2009-04-01,197.264008,203.313995,193.358002,199.884003,151.546921,12507447
2009-04-02,204.837997,219.462997,204.362000,214.460999,162.598846,14335064
2009-04-06,219.082001,228.322998,217.223999,224.511993,170.219254,14202106
2009-04-08,214.460999,233.897003,210.697998,231.563004,175.565140,12710225
2009-04-09,236.231003,253.237000,228.656998,248.759995,188.603485,19481750
2009-04-13,255.429001,275.769989,253.427994,269.766998,204.530457,18549037
2009-04-15,276.294006,283.677002,252.570007,279.152008,211.645920,19033572
2009-04-16,284.868011,284.868011,252.475006,256.381012,194.381546,19988294
2009-04-17,266.622986,273.911987,241.565994,245.996994,186.508636,20075210
2009-04-20,251.522003,255.953003,243.996002,250.235992,189.722519,12415382
2009-04-21,240.089996,246.710999,230.753006,232.658005,176.395325,16886862
2009-04-22,226.847000,245.567993,226.037003,229.514008,174.011658,11996152
2009-04-23,232.468002,253.761002,227.371002,250.427002,189.867355,17448771
2009-04-24,251.712997,259.144012,244.520004,248.807007,188.639099,16051886
2009-04-27,246.759003,255.809998,239.184998,241.757004,183.293991,14256538
2009-04-28,243.138000,245.233994,221.035004,223.274002,169.280640,12518496
2009-04-29,225.798996,232.087006,218.653000,226.847000,171.989624,17695907
2009-04-30,238.500000,238.500000,238.500000,238.500000,180.824615,0
2009-05-04,233.419998,251.856003,232.468002,250.759995,190.119827,13224858
2009-05-05,254.285004,275.197998,251.998993,272.626007,206.698105,17595622
2009-05-06,273.434998,275.816986,255.524002,257.906006,195.537735,14585669
2009-05-07,262.002991,283.915985,259.144012,280.437988,212.620926,21812075
2009-05-08,285.535004,288.536011,266.908997,269.053009,203.989090,19130979
2009-05-11,271.720001,275.149994,254.570999,257.858002,195.501358,17830077
2009-05-12,254.475998,264.337006,245.901001,262.527008,199.041245,15671265
2009-05-13,264.384003,264.670013,249.903000,251.856003,190.950806,15997543
2009-05-14,245.806000,256.048004,239.518005,251.951004,191.022797,15057507
2009-05-15,254.380997,262.384003,253.617996,259.144012,196.476349,10601051
2009-05-18,304.876007,309.639008,286.773987,303.208008,229.884537,69328
2009-05-19,314.403015,334.411011,285.821014,313.927002,238.011383,23850143
2009-05-20,309.639008,361.087006,309.639008,353.941986,268.349762,26128117
2009-05-21,348.701996,369.233002,340.317993,348.368011,264.123718,18995695
2009-05-22,343.937988,356.322998,335.506012,346.463013,262.679382,12888344
