epoch,loss,val_loss
0,0.004575637663506452,0.33596461740407074
1,0.00013176496433901997,0.3370657427744432
2,8.543494679010238e-05,0.3389777216044339
3,5.295797310474992e-05,0.32781501791693946
4,3.893396964798225e-05,0.3270326256752014
5,2.8531656591274608e-05,0.3319250534881245
6,1.9647662202719448e-05,0.3316851420836015
7,1.384962501786026e-05,0.33316759900613263
8,1.0507940912404335e-05,0.3355411318215457
9,7.237749013706843e-06,0.3343368795785037
0,0.020094441569961766,0.03518406925087964
1,0.00726714480954641,0.039609112882648005
2,0.008612198273168002,0.049376781013878907
3,0.008578077452098527,0.049057480836795134
4,0.008430128021420314,0.04857734899798578
5,0.008312897013813126,0.04636359379880808
6,0.008081877493517676,0.04579623238268224
7,0.00829637859766595,0.04634862414307215
8,0.008227393698156575,0.044496322770349005
9,0.00852690930986857,0.043248838406394825
0,0.018127417146024526,0.023735522141743622
1,0.008263491461548256,0.019432017191403163
2,0.007911931311828085,0.02523325639247725
3,0.0071757157717365775,0.03829703048210253
4,0.008069493133589276,0.03918178066272627
5,0.008805962127225939,0.03630445700731467
6,0.008896315025776858,0.03587279242294079
7,0.009555243912909645,0.04015465000305663
8,0.008047930069296853,0.04021279175173153
9,0.008087566701869947,0.039866393093358383
10,0.008604611206537811,0.04092815780842846
11,0.00920318968797801,0.03775235542773523
12,0.010112177372939186,0.037309955678541555
13,0.009676070812856779,0.0369803790341724
14,0.008708484900744225,0.03756286773237993
15,0.00855141051200917,0.03887357962825759
16,0.010008062917477219,0.03746287810446864
17,0.009280998566828203,0.039251444840126416
18,0.008909044239408104,0.03968157936734232
19,0.008698819934070344,0.03733715745197101
0,0.014052493982453597,0.024288400179516015
1,0.005276628013125446,0.03044964089481668
2,0.011181299810123163,0.025255418618061496
3,0.005201190615625819,0.03727920789440924
4,0.009467966161137155,0.04151942940767516
5,0.007945452534149808,0.03835032376545397
0,0.009037991384975613,0.0318551684983752
1,0.006139536327682435,0.02910395102067427
2,0.003893035325454548,0.027366804594004698
3,0.00367661016418424,0.03063121467659419
4,0.003786117028648732,0.026980589345012875
5,0.0035593884260742923,0.029439389493993738
6,0.0037024507255409844,0.028929501009935684
7,0.0034340667743526865,0.026899613440036774
8,0.00325115502870176,0.027528512355109506
9,0.003548954127036268,0.03071101528423076
10,0.0036873215706145854,0.0268687083999711
11,0.004445289877839969,0.025827179549113764
12,0.0054013538423168935,0.025036730570718646
